,Posts,Label
19, ምን ሆናችሁ ኦርቶዶክሶች ሰሞኑን ፖለቲካ ገባ እንዴ ውስጣችኋይዟችሁ ወደዱም ጠሉም ኢትዮጵያ አትፈርስም ኦርቶዶክስ አትከፈልም ይህንን ያለው ጠቅላይ ሚንስትር አቢይ አህመድ ነው,Offensive
20,ስለ አሳምነው የምትፅፈው ነገር አሳምነው ለአማራ የነበረው ተቆርቋሪነት አሪፍ ነበር ነገር ግን እነደ ፀጥታ ዘርፍ ሀላፊ ሆኖ ሲሰራ የፌደራል ፓሊስም ሆነ የኦነግ ሰራዊት ወደ አማራ ክልል ከሰኞ አርብ አየገቡ መረጃው ደርሶት ነበር ለምን ዝግጅት አላደረገም የሆነ ነገር ሊፈፀም እንደሆነ ካወቀ እንዴት ዝም ብሎ ይቀመጣል,Offensive
21,አርቲስቶች ዘፈኑና እኛም አብረን እንዝፈን እንዴ,Offensive
22,ይሄን ግም የሆነ ውሽልሽል አንድ የሚለው ይጥፋ ምንም እኮ የመንግስት ሁኔታ የለውም መንደሬ ነገር ነው,Offensive
23,ጡጦ ብቻ ሳይሆን ያባቱን ቦት ጫማም ጨምሮ ይላከው,Offensive
24,ሰማዩ ባዶ ነዉሄኖክ የጅብጥላ አእምሮ ባዶ ነወወ,Offensive
25,ይንቀቱ ንቀት አነጋገሩ ይመሰክራል ይሄ ከንቱ መና ይሆነ አይሁድ,Offensive
26,አንተ ለጡጦ እንጂ ለምግብ መች ደረስክ ጡጦውንም ነክሰህ ካልበሳኸው ነው,Offensive
27,ተዋናይ አብይ,Offensive
28, አይ አጭቤው  ሁሌ እንዳሾፈን,Offensive
29,አብይ የውሸት ስሙ ይመስለኛልዶር ነውየት ተማረ,Offensive
30,ጦጦ ለተና ለጫኔ ለህንጭጭ ፖለቲከኞች ይገዛላችጏል ማሙሽዬ,Offensive
31,ህዝብ የሚገባውን መሪ ያገኛል  ያለው ማን ነበር,Offensive
32,እየተያየን ተለያየን ምድረ ቆምጬ ከኦሮሚያ ተነቅሎ ይወጣል,Offensive
33,ወናፍ በለው,Offensive
34,  ማርያምን ያስብላል,Free
35,ዛሬ ነው እንዴ ጡጦ የተገዛልህ ቆዬ እኮ ድሮድሮ አእሚትሙቅስትበጠብጥ እኮ ነው የተገዛልህ ክክክ,Offensive
36,ይቀልዳል  ይቀደዳል  ይቀላምዳል,Free
37,ጥያቄውን እናወግዛለን ወይስ ጥያቄው ኢትዮጵያን አያፈርስም ይብራራ,Offensive
38,ሳይታለም የተፈታ ነው በልልኝማ,Free
39,አይ አንተ ጡጦ ገዝቶልንማ ጡጦዉን ዛሬም ድረስ የሚጠቡኮ አሉ,Free
40,አንተ እራስህ ጡጦ አይደለህ እንዴ ምን ይገዛልሀል,Offensive
41,እርግጠኛ ባልሆነም ፈጣሪ ተቀይሞናል ምልክቱ መሪዋቻችን በጣም ይንቁናል የነሱ ያህል የሚገባን አይመስላቸውም,Free
42,አስመሳይ ሌባ የህዝቡ ከዳር እስከዳር መነሳት አይቶ አቅጣጫ ማስቀየሩ ነው,Offensive
43,ይህ መርዘኛ እባብ  የጭቃ እሾህ,Offensive
44,አብይ እንደዚህ እያለ ሁሌ ይሸውዳቹሀል ሿሿ,Offensive
45,ይሄ ሰውዬ ግን ያልተናገረውን ነገር ጠይቀኝ,Offensive
46,እና ምን አባህ ይሸከምህ ከዚ በላይ የመስቀለኛ መንገድ ልጅ ባፋንኩሎ አሁን ሰው ሰልችቴታል የናንተ አንሱኝ ጣሉኝ ማለት,Offensive
47,ወደው አይስቁ,Offensive
48,ኦ የነኬኛ ቦለጢቃ አቅረፈደንአቦ ወዲያ በሉ በሏቸው,Offensive
49,አብይ በጥራቃው ሁሌም ምርጥ ቃላት እየተጠቀመ ሿሿ መስራት ይችላል ግን አሁን ተነቃቅተናል,Offensive
50,   አንተን ድርግም አርጎ ይዝጋህ አየክ ጋላ ስትወን ቀዳዳ ብቻ ነው ማሰብ የምትችል,Offensive
51,ምቀኛ እና ለመታወቅ የሚፈልግ ቀድሞ አፉ ይቀባጥራል ወንድ ከሆንክ እዚ አንዴ ና ለነገሩ አንተ ለጓደኞችህም ለአማራም አትመችም በወከንቱ እንቁራሪት,Offensive
52,አናቱ ይፍረስ,Offensive
53,ፈለገውን ይበል ከዚህ በሆላ ኦርቶዶክስን እግሯን የሚረግጣት አንገቱ ነው እሚቆረጥለት,Offensive
54,አስመሳይ እኮ ነው,Offensive
55,ይህ ጥንብ ኤርትራዊ ህዝቤን እያጃጃለ ጢባ ጢቤ እንደ ጉድ ይጫወትበታልክክክክክክክክ,Offensive
56,የምን ጡጦ ላንተ ቆመጥ ነው የሚያስፈልግ የሆንክ ቡሽቲ,Offensive
57,ጡጦ የለም ጣትህን ጥባ,Offensive
58,ሂድ እናትህን ብዳ,Offensive
59,የበታችነትህን ለመሸሸ ምታደርገውን ጥረት ሳናደንቅ አናልፍም ህውሀትም ሆነች ህዝቦ ግን ሁሌም የበላይ ናቸው ይሄን መቼም ልቦናህ ያቀዋልለዚህም ነው በትግራይ ታሪክ ስትፎክሩ የኖራቹት,Offensive
60,ዛሚ መሀሪ የትግራይ ታሪክ ምንድን ነው,Free
61,አለም ፀሀይ ሀይሌ አረቄያም,Offensive
62,እግሄር እንኳን አለደረገኝ ባለመሆኔ በጣም እኮራለሁ,Free
63,ሰሞኑን ደሞ ክኒንህን አልወሰድክም አደል,Offensive
64,አፌ ቁርጥ ይበል ሄንዬ ምን ላርግህ ንገርልኝ መቼም እውነትን አይቀበሉ እነዚ መሳቂያወች,Offensive
65,የማያስብ አእምሮ  ደደብነት ጭንቅላት የተሸምክ እርግጠኛ ሆነሀል,Offensive
66,አማራ እኛ ጋር ለማኝ ናቸው አንድም ትግረወይም ኦሮሞ ወደ አማራ ክልል ለስራ ፊለጋ አይሄድም ግን አማራ ለ ቀን ስራ እስከ ጅጅጋ አወዳይገለምሶየኛን እርሻ በርካሽ ይሰራሉ ግን ሰሞኑን በደቡቢ እየተቀየሩ ነው,Offensive
67,ኩሩ ህዝብ ኩሩ ማንነት ያለው ህዝብ ማንንም መሆን አይችልም ራሱን እንጂ  ዶተር በፍቃዱ ደግፌ አጥምቀውህ እንዲህ ግራ ያጋቡህ ,Offensive
68,ሄኒ በርታ ወንድሜ ኦሮሞና ትግሬ ብቻ ሳይሆን ለሆድ ያደረ የትኛውም አማራ አማራ እስካልሆነ ድረስ አይጠቅምም አንተ ብርቱ ታጋይ ነህ,Offensive
69,ኦነግነትም ሆነ ህወሀትነት ኩራት መሆኑን ባወክ አንተ ኩታራ ቆምጬ,Offensive
70,የሁሉም ስህተት ኢትዮጵያ መሆን አለመቻላቸው ብቻ ነው አማራ ኦሮሞም ትግሬም,Free
71,በተጨባጭም አንዴ ሸዋ ነኝ በሌላ ጊዜ የጎንደር ዘር አለብኝ እያልክ የምትፅፈው በጭንቅ ውስጥ ያለህ ሰው ነህ አንተ ደግሞ ያልበሰልክ አቋም የሌለህ ራስህ ዳር ላይ አስቀምጠህ ንፁሀን እሳት ላይ ለመማገድ ቅስቀሳ የምታደርግ በእብደት ውስጥ የምትገኝ ሰው ነህ ያበድክም ይመስለኛል ምንም ብትል ሰሚ የለህም,Offensive
72,አማራ ብትሆን ምን የተለየ ነገር ታገኛለህ ኦሮሞ ወይም ትግሬ በመሆን ምን የምታጣው ነገር አለ  ሚልየን የሚጠጋ አማራ ኦሮምያ ውስጥ ይኖራል ለምን ብለህ ጠይቅ,Free
73,በበታችነት ስሜት እንዳደግክ,Offensive
74,ነገረ ስራክ እያሳወቀብክ ነው,Offensive
75,ኢትዮጵያዊነት አይሰማቸዉ ብትል ያስከዳል አማራ ለመሆን የምለዉ አያስከድም ሀገሩን የሞላዉ ተንከራታች ማን ሆነና ነዉ ሰዉ ለመንከራተት የምመኘዉ,Offensive
76,አንተ እንደዚህ ጠላቶቻችንን ስትታገል ነው የሚያምርብህ አደራሀን ሁለተኛ ስለጎጥ እንዳታወራ ምንም ችግር ቢፈጠር ተጎጅዎች እኛ ስለሆን አንድ ሆነን መቆም ነው የሚያስፈልገው ,Free
77,ጣኦት አምልኮን ከሀያሉ እግዚአብሄር አምልኮ በምስጋና ስም መቀላቀል ከግለሰብ ቢሆን ግለሰቡ እራሱን ያዋርዳል ይህ ነገር ታላቋን እናት ኢትዮጵያን እመራለሁ ከሚል መንግስት ሲሆን ግን ያሳፍራል በዝች አገርም በራሳቸውም መርገምት ይጠራል,Offensive
78,ለአማራ ህዝብ እኮ ካንተ ይልቅ ኦነግ ይሻለዋል እኮ ቢያንስ ወደ አንድነት እየመጣ ነው አንተኮ ለአማራ ህዝብ ህወሀት ነህ ሙቅ,Offensive
79,ባልና ሚስት ከአንድ ምንጫ ይቀዳል አይደል የሚባለውሁለቱም ከሰውነት ጎዳና የወጡ ናቸው,Offensive
80,ሾጥ ያረግሀል እንዴአማራ ለመሆን የኖሩና የሚኖሩት ኦባንግ ሜቶና ኦባንግ ሜቶ ናቸው,Offensive
81,አማራ ሚባል ነገር አለወይ እስኪ ተስማሙና ንገሩን,Offensive
82,እንዴ ምን ሆነክ ነው አማራ መሆን እኮ መረገም ነው ትግሬ እና ኦሮሞ በማንነቱ መኩራት እና መኖር የሚፈልግ ጀግና ነው ለዚህም ነው በማንነቱ ማይደራ ደረው ትግሬ እና ኦሮሞ አሁንም በማንም ትላ ስር መኖር አይፈልግም,Offensive
83,አማራ እንጂ ወያኔ እና ኦነግ ተላላኪ ሁኖ አይውቁም በታሪክ ከመጣ አማራ በጉራ እንጂ የኢትዮጵያ መሪ ሁኖ አይውቅም ያ አለን የምቱሉት ሚኒልክ እንካን በአባቱ ኦሮሞ ነውየባታችነት ስሜት ሊሰማው የሚገባው አማራ እንጂ ትግራዋይ አደለም,Offensive
84,እስማማለሁ ምልክቱ ደግሞ አቶ ልደቱና ቴድሮስ ፀጋዬ ባደረጉት ውይይት ተብራርቷል,Offensive
85,ኦሮሞ የድሮው ስሙን አትጥሩብኝ ይላል ያ ዋናው ማሳያ ነው,Offensive
86,አማራ የሚባል እኮ የለም ስለዚህ የሌለን ነገር ለመሆን እንዴት ይመኛሉ,Offensive
87,ምን አደከመኝ ፍካሬ እየሱሰ ተነግሮሀል አሁንም ሰሚኖች ይገዛሉ አማሮች ነን ባዬች እርሰ በርስ የልቃሉ,Free
88,እኔ ፈጣሪን እማመሰግነው ከአማራና ከኦርቶዶክስ እምነት ተከታዮች ዘር ስለፈጠረኝ ነው,Free
89,አማራነት ከፈጣሬ የተሰጠ ነው ምንም ማድረግ አይቻልም,Free
90,ለመሆኑ አማራ የሚባል ነገድ እንደሌለ አጠቃላይ ምሁራኖች ስምምነት ላይ በደረሱበት ሁኔታ አንተ አማራ የምትለው ማንን ይሆን ,Offensive
91,አህያ ለመሆን አትልም ሰዉ ነን እና አህያ መሆንአንችልም,Offensive
92,አቃቢ ህጉ የሰኔ አስራምስቱን ግድያ አስመልክቶ መግለጫ እሰጣለሁ ብሏል ከዚያ የሚቀድሙ ጉዳዮች ለህዝብ ይፋ ሆነዋል ወይ የመስቀል አደባባዩ ቦንብ ፍንዳታ  የኢንጂነር ስመኘው ገዳይ  የቡራዩ ጭፍጨፋ   የለገጣፎ ወንጀል   የ አባይ ግድብ ላይ በሜቴክ ተሰራ የተባለው የቢሊዮን ብር መጭበርበር   የተሰረቀ አውሮጵላን   በጣም ተያያዥ መልስ ያላገኙ ዳህራይ ወንጀሎች በእንጥልጥል በቀሩበት የሰኔ አስራምስቱ ወንጀል ለምን ቅድሚያ ተሰጠው,Offensive
93,የመስቀል አደባባዩ ጌች የእንጅነሩ በጭንቀት ራሱን ወሰደ ሲባል የሰማሁ መሰለኝ ሌሎችን አልሰማሁም,Offensive
94,አቋም የለህም ሰውየው አሁን ይሄን ብለህ ከሰአት ደግሞ ምን እንደምትል አይታወቅምስለዚህ አንድ አቋም ይኑርህ,Offensive
95,ከቅርብ ግዜ ዎዲህ የትግል ስልቱ እየገባህ ይመስለኛል በተሻለ ደረጃ ለመታገል ዎቅቱ የሚይቅ አሰላለፍ ይጠበቅብሀል አንተ በብዙዎች ዘንድ እውቅና ስላለህ እሱን እደ መልካም አጋጣሚ በመጠቀም አማራን አንቃበት ,Free
96,አማራ ቁማሩን ከተበላ ቆየ እኮ አሁን ሚስበው ካርታ እዬዬውን ብቻ ነው ደግሞ ለማልቀስ ከእናንተ ወድያ ሰኔ  ሰው ሳይሆን ሀገር ነው የተገደለችው ለዚህ ደግሞ አቃቢ ህግ ብቻ ሳይሆን እኛም እንጠይቃለን አማራ እኮ ለስንዝር መሬት እናቱን አባቱን ወንድሙን የሚገል ህዝብ ነው አይዞህ ተፈጥሮ ነው,Offensive
97,አማራ አንድ ከሆነ ፀረአማራው ሁሉ ወደ መቃብሩ ይወርዳልአሁ እራሰችሁን የኢትዮጵያን መሪ አድርጋችሁኮ ነው የምትመለከቱት,Offensive
98,የትል የህል እንኳ አቅም በኢትዮጵያ ቦታ የላችሁምአሁ እራሰችሁን የኢትዮጵያን መሪ አድርጋችሁኮ ነው የምትመለከቱት,Offensive
99,የትል የህል እንኳ አቅም በኢትዮጵያ ቦታ የላችሁም,Offensive
100,እዲህ ነው ሄኒ አንድነትን መስበክ በርታልን,Free
101,ሄኖክ የሽ ጥላ እረ ምን ላድርግህ አንተኮ ባጭሩ ምንጡቅ አይምሮ ነው ያለህ ሌላ አልልም አንድ አምላክ ይጠብቅህ ሀላስ,Free
102,እንደዛሬ የውስጤን አውጥህ ተናግረህልኝ አታቅም ሄኖኬ እግዚያብሄር ይስጥህ እንደዚህ አይነት ወደ አንድነት የሚመራ ፅሁፎችን ሰትፅፉ ህዝቡም አንድ ይሆናል,Free
103,ትትክክልተማርአማራያለፈዉይብቃንበመገድየወደቀችአማራአራግፈንአፍሯንመሸክፍአልብንወድማላምሄኖክየሰላሙጌታካትጋርይሆንአነቃቃንደንዘናልበምናያቸዉነገርብዛት,Free
104,ጀግና ነህ ባለህበት ድንግልማሪያም ትጠብቅህ,Free
105,በብዥታ ስተት መስራትን ማመን ትልቅነት ነው,Free
106,ቅድሚያ ለሚሰጠው ችግር ቅድሚያ እንስጥ ማለትህም ዝቅ ብለህ ምክር መቀበልህን ያመለክታል       ,Free
107,ትክክል አማራን ሰላም መንሳት የታቀደ ነውበቅርብ ቀን ክልላችን ውስጥ ችግር ይፈጠራልየክልሉ ህዝብ መረጋጋት አለበት በተጨማሪም መደራጀትበሁሉም ነገር ያገባኛል የሚል ስሜት መቅረት አለበትኢትዮጵያ የሚል አስተሳሰብ ጥሩ ቢሆንምበአሁኑ ሰአት የሚያዋጥን አማራ ብቻ ነው,Free
108,በትክክልምንምይባልምን አማራነታችን በአንድ ድምፅ ወደፊት   ,Free
109,የአምሀራ ህዝብ   ላይ ነን ከዚህ በ ሀላ ለማንም አንሸወድም ነቋ ብለናል,Free
110,አዴፓዎች ተዋናይ ይሆናሏዳዲስ አጀንዳዎች በመስጠት ይባላሉ ብሎ ማሰብ ብሽቅነት ነውሰብረናቸዋል ተብለን የለ እኛም ስብራታችንን እያስታመምን አንኖርምነው ስብራታችንን ዳግም እንዲደገም ፈልገው ነውፀሎት ላይ ነን በላቸውመግለጫችሁን የምንሰማበትና የምናይበት ጊዜ የለንምከፈለጋችሁ ለጀዋር አንብቡለት,Free
111,የአማራ ህዝብ እነኳን አሁን ማነነታቸው ግልፅ ብሎ በወጣበት ያኔም ገብቶታል አነድ አማራራራራራራራራ,Free
112,ግድ የለም በአማራ ክልል የተፈፀሙ ጭፍጨፋ እና ወንጀሎችንም ጥቀስ አንተ እየጮኸ ትጠፋለህ እንጂ ስም በማጥፋት የሚጠፋ ኦሮሞነት የለም,Free
113,የአማራ ህዝብ ሆይ የሚሰጠውን መግለጫ እንዳትቀበሉት አማራን ለመከፋፈል የሚሰጥ መግለጫ ነው,Free
114,ይሄንን ሴራ እና ደባ ሊሞግት የማይችል ልፍስፍስ አሽከር ሆድ አደር አዴፓ የሚባል አፉኝት እያለ መቼም ከስህተት መማር መንቃት የሚባል ነገር የለም ወሬ አሳምሮ ማውራት ለማንም ቀላል ነው,Offensive
115,የአማራ ክልል ፖርቲዎች ህብረት መፍጠር ያልተመቸው ኦነግ መራሹ ኢህአዴግ ክልሉ ግጭት ውስጥ እንዲገባ ህዝቡ እርስበርሱ እንዲጋጭ አልሞ እየሰራ ይመስለኛል ,Offensive
116,እውነት ነው  ማንም በዚህ የሀሰት መግለጫ መከፋፈል የለብንም,Free
117,አቃቢ ህግም በብሄር ሸንሽኖ መሆን አለበት መግለጫ የሚሰጠን ዘይገርም አሉ አባ,Free
118,ትክክል ብልጥ ከአንድ በላይ አይበልጥ እንዲሉ የእስከዛሬው ይበቃል በሰኔ  ችግር ስንት ንፁሀን ወንድሞቻችብ ታስረው እያለ አሁን ደግሞ የፌዴራል አቃቤ ህግ ዛሬ ሊሰጥ ያሰበው መግለጫ አላማው ምን እንደሆነ ግልፅ ነው ስለዚህ ከዚህ በኋላ አይናችሁን ጨፍናችሁ ላሞኛችሁ የህፃናት ጨዋታ ነው ነገርዮው,Offensive
119,ይህ እኮ የተለመደ ነው አማራውን እረፍት መንሳት ነው ወንድሜ ሆዬ,Free
120,እንናንተ ስታራግቡ የከረማችሁት የሎችን አራግባችሁ ጨርሳችሁ ነበርወይስ እኛ ብቻ ስለሰኔ ቱ ዋሸተን እንቅር እውነት አይውጣ ነማለት ነውለማንኛውም መንግስትም የነበሩ ሰወችም እውነቱን ይንገሩእኛ በፌስቡክ የውሸት ወሬ የማንበከል ሰወች በመንግስት የተጣራውን ትክክለኛ ወሬ መስማትና ማወቅ እንፈልጋለንእውነት ሲመጣ ውሸት ትጨነቃለችይላሉ አባቶ,Free
121,ሚሻለውም ይሄው ነው ጠርዝና ጠርዝ ቆሞ መሰዳደቡ ለማንም አይጠቅምም አንድ አማራ ለሁሉም አማራ ሁሉም አማራ ለአንድ አማራ,Free
122,ግልፅ ነው  የአማራ ታጋዮችን ለመከፋፈል የታለመ ነው ,Free
123,ታድያ ስትበሳጭ ዋጥ እያደረጉ ነው ሄኖክ እንዳትንደው ህዝብህ አዋቂ ስለሆ ለምን ወዴት ብሎ ሊደነቃቀፍ ይችላል,Offensive
124,የስመኘው ገዳይ እራሱ ስመኘው ነው,Free
125,ገዛኢ አብረሀ እና ሰአራ መኮንን,Free
126,ከ የባንክ ቅርንጫ የተዘረፈው የህዝብ ገንዘብ ስንት እንደሆነ አልነገሩንም ሰንቱ ተዘርዝሮ ያልቃል የነሱ ጉድውሸት አተ ስለአማራ አድነት ውነትአሳስቦህ አተ አዱ የጃዋር ሚስጥራውይ ተከፋይ አደለህ ስለአማራ በምን ህሌናህ ነውየምትናገረው በዶላር ህሌናህ ከሆነ ልትናገር ትችል ይሆናል,Offensive
127,የጅሎቹ ድራማ ይቀጥላል መቼም አያፍሩምና ትንሽ ያስቁን ተዋቸው ግም ለግም አብሮ ያዝግም ነዉና,Offensive
128,አማራን እርስ በራሱ ለማባላትና ኦሮሞ ውስጥ የተደረግውን አፀያፊ ግደይ ትኩረት እያዳደረግ ትኩረቱን ለማስቀየር ነው ይፋ አደርጋለሁ ያለው አማራ ከመቸውም ግዜ በላይ አሁን ችግር ውስጥ ገብተናል እንደራጅ እንደራጅ እንደራጅ,Free
129,ጎንደሮች በግፍ ተጨፍጭፈው እውነቱ እንዳይወጣ ተቅበጠበጣችሁ,Offensive
130,ሞኝ ሰው ሁለቴ በባብይነደፋል አንዴም ሳያይ ሁለተኛ ለሰው ሲያሳይ  እኛም እደሰውየዉ ሁለቴ መሸወድ የለብንም ንቃ አማራ ,Free
131,በሚገባ ተነቃቅተናል ይልቅ ጎረቤቶቻችን የትግራይ አክቲቪስቶችም መምሸቱን እወቁ,Free
132,እውነት ነው  ሌላ ድራማ ሊሰሩብን ስለፈለጉ ነው ,Offensive
133,ሴራውን ተረድተናል አነድ አማራ ጠላቶች,Offensive
134,አማራውእራስበእራሷይጣላምአንድነታችንለዘላቄይቀጥላልአንድነታችንንማንምአያፈረሰውምፈጣራያግዘናል,Free
135,የእነጄነራልሰአረየግድያሁኔታምንሚክኒያትይቀርብለትይሆንጠባቅውበቅምተነሳስቶነውእንዳይሉፈራሁኝአብየትቀብራችሁ,Offensive
136,አ ን ተ ሌ ባ ነ ህም ን ለ መ ግ ለ ፅ እ ደ ፈ ለ ክ ግ ል ፅ ነውአ ማ ሀ ራ ነው ስ ተ ቱ ን የ ሰ ራ ው ለ ማ ለ ት ነውት ግ ሬ ነ ህ,Offensive
137,ስመኘው ራሱ ገደለ ተባልክ አደለ እንዴ,Offensive
