"Posts","Label"
"እስክንድር የሚናገረውን ለመረዳት ወይም የሚያደርገውን ነገር በደንብ ለማወቅ ዳግም መፈጠር ያስፈልጋል:: ሰዎች በደንብ ስለማይረዱት አንድ ነገር ባደረገ እና በተናገረ ቁጥር በአንድ አቅጣጫ ብቻ ያዩታል ወይም ሀሳቡን አይረዱትም:: ላይ ላዩን ብቻ በማየት ይፈርዳሉ::","Free"
"እስክንድር በማንኛውም ትግል መገኘት ያለበት እና መግለጫም መስጠት ያለበት ምርጥ ዜጋ ነው","Offensive"
"ቆማጣ ሁላ","Offensive"
"በሌላ ጊዜ ቢያደርገው መልካም ነው","Offensive"
"ለሌሎች መጠቀሚያ እንዳይሆን መጠንቀቅ አለበት","Free"
"ሲጀመር ሰልፉ ሀይማኖታዊ እንጂ ፖለቲካዊ አይደለም ስለሆነም የየትኛውም ፖለቲካ ደጋፊና አባል ይሳተፍበታል ተብሎ ይጠበቃል ። እስክንድር ደግሞ ፖለቲከኛ እንጂ ሀይማኖተኛ አይደለም ። በዚህ አጋጣሚ ፖለቲከኛ አይደለም ጋዜጠኛ ነው ብለህ እንደማትሞግተኝ ባለ ሙሉ ተስፋ ነኝ ። እናም የሁሉም በሆነች ሀይማኖት ላይ የአንድ ወገን ፖለቲካ አራማጅ ግለሰብ ምንም አይነት መግለጫ የመስጠት መብት የለውም ። ቢሰጥም ህብረቱን ያፈርሰዋል እንጂ ምንም አይጠቅመውም ።","Offensive"
"ሔኖክየሺጥላ በዚህ ፅሁፍህ ከስንቱ ጋር ነው አማራና ኦርቶዶክስን የምታጋጨው? ስትፅፍ ሃቀኛ አቃም ያለህ መሆን ይገባሃል ደግሞ ምን አገባህ ስለ እስክንድር ? ማቅራራት ዋጋ የለውም እንደ እስክንድር ለኢትዮጵያ ሕዝብ እታገላለው ካል ኢትዮጵያ ግባና ተገል አልዝያ ዝም ብለህ ገንፎህን ቀቅል እስክንድርን ከስንቱ ጋር ይጋጭ? እረ ስከን በል እባክህን::","Free"
""" ምን ሆናችሁ ኦርቶዶክሶች? ሰሞኑን ፖለቲካ ገባ እንዴ ውስጣችሁ?አይዟችሁ ወደዱም ጠሉም ኢትዮጵያ አትፈርስም ኦርቶዶክስ አትከፈልም ""ይህንን ያለው ጠቅላይ ሚንስትር አቢይ አህመድ ነው።","Offensive"
"ስለ አሳምነው የምትፅፈው ነገር አሳምነው ለአማራ የነበረው ተቆርቋሪነት አሪፍ ነበር ነገር ግን እነደ ፀጥታ ዘርፍ ሀላፊ ሆኖ ሲሰራ የፌደራል ፓሊስም ሆነ የኦነግ ሰራዊት ወደ አማራ ክልል ከሰኞ -አርብ አየገቡ መረጃው ደርሶት ነበር ።ለምን ዝግጅት አላደረገም የሆነ ነገር ሊፈፀም እንደሆነ ካወቀ እንዴት ዝም ብሎ ይቀመጣል።","Offensive"
"አርቲስቶች ዘፈኑና እኛም አብረን እንዝፈን እንዴ","Offensive"
"ይሄን ግም የሆነ ውሽልሽል አንድ የሚለው ይጥፋ ምንም እኮ የመንግስት ሁኔታ የለውም መንደሬ ነገር ነው","Offensive"
"ጡጦ ብቻ ሳይሆን ያባቱን ቦት ጫማም ጨምሮ ይላከው።","Offensive"
"ሰማዩ ባዶ ነዉ።ሄኖክ የጅብጥላ አዕምሮ ባዶ ነወወ።","Offensive"
"ይንቀቱ ንቀት አነጋገሩ ይመሰክራል ይሄ ከንቱ መና ይሆነ አይሁድ!","Offensive"
"አንተ ለጡጦ እንጂ ለምግብ መች ደረስክ! ጡጦውንም ነክሰህ ካልበሳኸው ነው።","Offensive"
"ተዋናይ አብይ","Offensive"
"KKkkkk.. አይ አጭቤው ፣ ሁሌ እንዳሾፈን!","Offensive"
"አብይ የውሸት ስሙ ይመስለኛልዶር ነው?የት ተማረ?…","Offensive"
"ጦጦ ለተና ለጫኔ ለህንጭጭ ፖለቲከኞች ይገዛላችጏል ማሙሽዬ","Offensive"
"""ህዝብ የሚገባውን መሪ ያገኛል "" ያለው ማን ነበር","Offensive"
"እየተያየን ተለያየን ምድረ ቆምጬ ከኦሮሚያ ተነቅሎ ይወጣል፡፡","Offensive"
"ወናፍ በለው","Offensive"
"Haha. .. ማርያምን ያስብላል","Free"
"ዛሬ ነው እንዴ ጡጦ የተገዛልህ ቆዬ እኮ ድሮድሮ አእሚት/ሙቅ/ስትበጠብጥ እኮ ነው የተገዛልህ ክክክ","Offensive"
"ይቀልዳል ፣ ይቀደዳል ፣ ይቀላምዳል...","Free"
"ጥያቄውን እናወግዛለን? ወይስ ጥያቄው ኢትዮጵያን አያፈርስም??? ይብራራ","Offensive"
"ሳይታለም የተፈታ ነው በልልኝማ","Free"
"አይ አንተ ጡጦ ገዝቶልንማ ጡጦዉን ዛሬም ድረስ የሚጠቡ'ኮ አሉ","Free"
"አንተ እራስህ ጡጦ አይደለህ እንዴ ምን ይገዛልሀል","Offensive"
"እርግጠኛ ባልሆነም ፈጣሪ ተቀይሞናል ምልክቱ መሪዋቻችን በጣም ይንቁናል የነሱ ያህል የሚገባን አይመስላቸውም","Free"
"አስመሳይ ሌባ የህዝቡ ከዳር እስከዳር መነሳት አይቶ አቅጣጫ ማስቀየሩ ነው","Offensive"
"ይህ መርዘኛ እባብ . የጭቃ እሾህ","Offensive"
"ኣብይ እንደዚህ እያለ ሁሌ ይሸውዳቹሃል። ሿሿ","Offensive"
"ይሄ ሰውዬ ግን ያልተናገረውን ነገር ጠይቀኝ","Offensive"
"እና ምን ኣባህ ይሸከምህ ከዚ በላይ የመስቀለኛ መንገድ ልጅ ባፋንኩሎ ኣሁን ሰው ሰልችቴታል የናንተ ኣንሱኝ ጣሉኝ ማለት","Offensive"
"ወደው አይስቁ...¡¡¡¡","Offensive"
"ኦ የነኬኛ ቦለጢቃ ....አቅረፈደን...አቦ ወዲያ በሉ በሏቸው።","Offensive"
"አብይ በጥራቃው ሁሌም ምርጥ ቃላት እየተጠቀመ ሿሿ መስራት ይችላል ግን አሁን ተነቃቅተናል","Offensive"
"Yero Mina Bir አንተን ድርግም አርጎ ይዝጋህ አየክ ጋላ ስትወን ቀዳዳ ብቻ ነው ማሰብ የምትችል","Offensive"
"ምቀኛ እና ለመታወቅ የሚፈልግ ቀድሞ አፉ ይቀባጥራል። ወንድ ከሆንክ እዚ አንዴ ና። ለነገሩ አንተ ለጓደኞችህም ለአማራም አትመችም። በወከንቱ እንቁራሪት።","Offensive"
"አናቱ ይፍረስ","Offensive"
"ፈለገውን ይበል ከዚህ በሆላ ኦርቶዶክስን እግሯን የሚረግጣት አንገቱ ነው እሚቆረጥለት","Offensive"
"አስመሳይ እኮ ነው","Offensive"
"ይህ ጥንብ ኤርትራዊ ሕዝቤን እያጃጃለ ጢባ ጢቤ እንደ ጉድ ይጫወትበታል...ክክክክክክክክ","Offensive"
"የምን ጡጦ ላንተ ቆመጥ ነው የሚያስፈልግ የሆንክ ቡሽቲ","Offensive"
"ጡጦ የለም ጣትህን ጥባ","Offensive"
"ሂድ እናትህን ብዳ","Offensive"
"የበታችነትህን ለመሸሸ ምታደርገውን ጥረት ሳናደንቅ አናልፍም ህውሃትም ሆነች ህዝቦ ግን ሁሌም የበላይ ናቸው ይሄን መቼም ልቦናህ ያቀዋልለዚህም ነው በትግራይ ታሪክ ስትፎክሩ የኖራቹት!","Offensive"
"ዛሚ መሃሪ የትግራይ ታሪክ ምንድን ነው","Free"
"አለም ጸሀይ ሀይሌ አረቄያም","Offensive"
"እግ/ሔር እንኳን አለደረገኝ ባለመሆኔ በጣም እኮራለሁ","Free"
"ሰሞኑን ደሞ ክኒንህን አልወሰድክም አደል?","Offensive"
"አፌ ቁርጥ ይበል ሄንዬ ምን ላርግህ ንገርልኝ መቼም እውነትን አይቀበሉ እነዚ መሳቂያወች","Offensive"
"የማያስብ አእምሮ ፤ ደደብነት ጭንቅላት የተሸምክ እርግጠኛ ሆነሃል","Offensive"
"አማራ እኛ ጋር ለማኝ ናቸው አንድም ትግረ፡ወይም ኦሮሞ ወደ አማራ ክልል ለስራ ፊለጋ አይሔድም ግን አማራ ለ ቀን ስራ እስከ ጅጅጋ ፡አወዳይ፡ገለምሶ፡የኛን እርሻ በርካሽ ይሠራሉ ግን ሠሞኑን በደቡቢ እየተቀየሩ ነው","Offensive"
"ኩሩ ህዝብ ኩሩ ማንነት ያለው ህዝብ ማንንም መሆን አይችልም ራሱን እንጂ !!! ዶKተር በፍቃዱ ደግፌ አጥምቀውህ እንዲህ ግራ ያጋቡህ ???","Offensive"
"ሄኒ በርታ ወንድሜ!! ኦሮሞና ትግሬ ብቻ ሳይሆን ለሆድ ያደረ የትኛውም አማራ አማራ እስካልሆነ ድረስ አይጠቅምም። አንተ ብርቱ ታጋይ ነህ።","Offensive"
"ኦነግነትም ሆነ ህወሓትነት ኩራት መሆኑን ባወክ አንተ ኩታራ ቆምጬ","Offensive"
"የሁሉም ስህተት ኢትዮጵያ መሆን አለመቻላቸው ብቻ ነው አማራ ኦሮሞም ትግሬም","Free"
"በተጨባጭም አንዴ ሸዋ ነኝ በሌላ ጊዜ የጎንደር ዘር አለብኝ እያልክ የምትፅፈው በጭንቅ ውስጥ ያለህ ሰው ነህ። አንተ ደግሞ ያልበሰልክ(immature)፣ አቋም የሌለህ፣ ራስህ ዳር ላይ አስቀምጠህ ንፁሃን እሳት ላይ ለመማገድ ቅስቀሳ የምታደርግ በእብደት ውስጥ የምትገኝ ሰው ነህ!! ያበድክም ይመስለኛል!! ምንም ብትል ሰሚ የለህም።","Offensive"
"አማራ ብትሆን ምን የተለየ ነገር ታገኛለህ...? ኦሮሞ ወይም ትግሬ በመሆን ምን የምታጣው ነገር አለ....? 15 ሚልየን የሚጠጋ አማራ ኦሮምያ ውስጥ ይኖራል ለምን ብለህ ጠይቅ...???","Free"
"በበታችነት ስሜት እንዳደግክ","Offensive"
"ነገረ ስራክ እያሳወቀብክ ነው","Offensive"
"ኢትዮጵያዊነት አይሰማቸዉ ብትል ያስከዳል!! አማራ ለመሆን የምለዉ አያስከድም ሀገሩን የሞላዉ ተንከራታች ማን ሆነና ነዉ ሰዉ ለመንከራተት የምመኘዉ???","Offensive"
"አንተ እንደዚህ ጠላቶቻችንን ስትታገል ነው የሚያምርብህ አደራሀን ሁለተኛ ስለጎጥ እንዳታወራ ምንም ችግር ቢፈጠር ተጎጅዎች እኛ ስለሆን አንድ ሆነን መቆም ነው የሚያስፈልገው ።","Free"
"ጣዖት አምልኮን ከሐያሉ እግዚአብሔር አምልኮ በምስጋና ሥም መቀላቀል ከግለሰብ ቢሆን ግለሰቡ እራሱን ያዋርዳል። ይህ ነገር ታላቁዋን እናት ኢትዮጵያን እመራለሁ ከሚል መንግሥት ሲሆን ግን ያሳፍራል በዝች አገርም በራሳቸውም መርገምት ይጠራል።","Offensive"
"ለአማራ ህዝብ እኮ ካንተ ይልቅ ኦነግ ይሻለዋል እኮ ቢያንስ ወደ አንድነት እየመጣ ነው አንተኮ ለአማራ ህዝብ ህወሓት ነህ ሙቅ","Offensive"
"ባልና ሚስት ከአንድ ምንጫ ይቀዳል አይደል የሚባለው?ሁለቱም ከሰውነት ጎዳና የወጡ ናቸው","Offensive"
"ሾጥ ያረግሃል እንዴ?አማራ ለመሆን የኖሩና የሚኖሩት ኦባንግ ሜቶና ኦባንግ ሜቶ ናቸው¡¡¡","Offensive"
"አማራ"" ሚባል ነገር አለወይ? እስኪ ተስማሙና ንገሩን!","Offensive"
"እንዴ ምን ሆነክ ነው አማራ መሆን እኮ መረገም ነው ትግሬ እና ኦሮሞ በማንነቱ መኩራት እና መኖር የሚፈልግ ጀግና ነው ለዚህም ነው በማንነቱ ማይደራ ደረው ትግሬ እና ኦሮሞ አሁንም በማንም ትላ ስር መኖር አይፈልግም።","Offensive"
"አማራ እንጂ ወያኔ እና ኦነግ ተላላኪ ሁኖ አይውቁም። በታሪክ ከመጣ አማራ በጉራ እንጂ የኢትዮጵያ መሪ ሁኖ አይውቅም። ያ አለን የምቱሉት ሚኒልክ እንካን በአባቱ ኦሮሞ ነው።የባታችነት ስሜት ሊሰማው የሚገባው አማራ እንጂ ትግራዋይ አደለም።","Offensive"
"እስማማለሁ ምልክቱ ደግሞ አቶ ልደቱና ቴድሮስ ጸጋዬ ባደረጉት ውይይት ተብራርቱዋል","Offensive"
"ኦሮሞ የድሮው ስሙን አትጥሩብኝ ይላል ያ ዋናው ማሳያ ነው","Offensive"
"አማራ የሚባል እኮ የለም ስለዚህ የሌለን ነገር ለመሆን እንዴት ይመኛሉ?","Offensive"
"ምን አደከመኝ ፍካሬ እየሱሰ ተነግሮሀል አሁንም ሰሚኖች ይገዛሉ አማሮች ነን ባዬች እርሰ በርስ የልቃሉ","Free"
"እኔ ፈጣሪን እማመሰግነው ከአማራና ከኦርቶዶክስ እምነት ተከታዮች ዘር ስለፈጠረኝ ነው!!!","Free"
"አማራነት ከፈጣሬ የተሰጠ ነው ምንም ማድረግ አይቻልም","Free"
"ለመሆኑ አማራ የሚባል ነገድ እንደሌለ አጠቃላይ ምሁራኖች ስምምነት ላይ በደረሱበት ሁኔታ አንተ አማራ የምትለው ማንን ይሆን ?","Offensive"
"ኣህያ ለመሆን ኣትልም ሰዉ ነን እና ኣህያ መሆንኣንችልም","Offensive"
"አቃቢ ህጉ የሰኔ አስራምስቱን ግድያ አስመልክቶ መግለጫ እሰጣለሁ ብሏል። ከዚያ የሚቀድሙ ጉዳዮች ለህዝብ ይፋ ሆነዋል ወይ? የመስቀል አደባባዩ ቦንብ ፍንዳታ ? የኢንጂነር ስመኘው ገዳይ?  የቡራዩ ጭፍጨፋ ?  የለገጣፎ ወንጀል ?  የ አባይ ግድብ ላይ በሜቴክ ተሰራ የተባለው የቢሊዮን ብር መጭበርበር ?  የተሰረቀ አውሮጵላን ?  በጣም ተያያዥ መልስ ያላገኙ ዳህራይ ወንጀሎች በእንጥልጥል በቀሩበት የሰኔ አስራምስቱ ወንጀል ለምን ቅድሚያ ተሰጠው?!!!","Offensive"
"የመስቀል አደባባዩ ጌች የእንጅነሩ በጭንቀት ራሱን ወሰደ ሲባል የሰማሁ መሰለኝ ሌሎችን አልሰማሁም","Offensive"
"አቋም የለህም ሰውየው፡፡ አሁን ይሄን ብለህ ከሰዓት ደግሞ ምን እንደምትል አይታወቅም፡፡ስለዚህ አንድ አቋም ይኑርህ፡","Offensive"
"ከቅርብ ግዜ ዎዲህ የትግል ስልቱ እየገባህ ይመስለኛል በተሻለ ደረጃ ለመታገል ዎቅቱ የሚይቅ አሰላለፍ ይጠበቅብሀል አንተ በብዙዎች ዘንድ እውቅና ስላለህ እሱን እደ መልካም አጋጣሚ በመጠቀም አማራን አንቃበት !!!","Free"
"አማራ ቁማሩን ከተበላ ቆየ እኮ አሁን ሚስበው ካርታ እዬዬውን ብቻ ነው ደግሞ ለማልቀስ ከእናንተ ወድያ ሰኔ 16 ሰው ሳይሆን ሀገር ነው የተገደለችው ለዚህ ደግሞ አቃቢ ህግ ብቻ ሳይሆን እኛም እንጠይቃለን አማራ እኮ ለስንዝር መሬት እናቱን አባቱን ወንድሙን የሚገል ህዝብ ነው አይዞህ ተፈጥሮ ነው","Offensive"
"አማራ አንድ ከሆነ ጸረአማራው ሁሉ ወደ መቃብሩ ይወርዳል!አሁ እራሰችሁን የኢትዮጵያን መሪ አድርጋችሁኮ ነው የምትመለከቱት!","Offensive"
"የትል የህል እንኳ አቅም በኢትዮጵያ ቦታ የላችሁምአሁ እራሰችሁን የኢትዮጵያን መሪ አድርጋችሁኮ ነው የምትመለከቱት!","Offensive"
"የትል የህል እንኳ አቅም በኢትዮጵያ ቦታ የላችሁም","Offensive"
"እዲህ ነው ሄኒ አንድነትን መስበክ፡፡ በርታልን","Free"
"ሄኖክ የሽ ጥላ። እረ ምን ላድርግህ አንተኮ ባጭሩ ምንጡቅ አይምሮ ነው ያለህ ሌላ አልልም አንድ አምላክ ይጠብቅህ ሀላስ","Free"
"እንደዛሬ የውስጤን አውጥህ ተናግረህልኝ አታቅም ሄኖኬ እግዚያብሔር ይስጥህ እንደዚህ አይነት ወደ አንድነት የሚመራ ጽሁፎችን ሰትጽፉ ህዝቡም አንድ ይሆናል","Free"
"ትትክክል፣ተማር፣አማራ፣ያለፈዉ፣ይብቃንበመገድ፣የወደቀች፣አማራ፣አራግፈን፣አፍሯን፣መሸክፍአልብን፣ወድማላም፣ሄኖክ፣የሰላሙ፣ጌታ፣ካትጋር፣ይሆን፣አነቃቃን፣ደንዘናል፣በምናያቸዉ፣ነገር፣ብዛት፣","Free"
"ጀግና ነህ ባለህበት ድንግልማሪያም ትጠብቅህ","Free"
"በብዥታ ስተት መስራትን ማመን ትልቅነት ነው።","Free"
"ቅድሚያ ለሚሰጠው ችግር ቅድሚያ እንስጥ ማለትህም ዝቅ ብለህ ምክር መቀበልህን ያመለክታል። Prioritization is a key in problem solving.","Free"
"ትክክል አማራን ሠላም መንሣት የታቀደ ነው፡፡በቅርብ ቀን ክልላችን ውሥጥ 1ችግር ይፈጠራል፡የክልሉ ህዝብ መረጋጋት አለበት ፡በተጨማሪም መደራጀት፡በሁሉም ነገር ያገባኛል የሚል ሥሜት መቅረት አለበት፡፡1ኢትዮጵያ የሚል አሥተሣሠብ ጥሩ ቢሆንም፡በአሁኑ ሠዓት የሚያዋጥን 1አማራ ብቻ ነው፡፡","Free"
"በትክክል፡ምንምይባልምን አማራነታችን በአንድ ድምፅ ወደፊት። for Ever Amhara","Free"
"የአምሀራ ህዝብ MORE BALANCE ላይ ነን ከዚህ በ ሃላ ለማንም አንሸወድም ነቋ ብለናል","Free"
"አዴፓዎች ተዋናይ ይሆናሉ።አዳዲስ አጀንዳዎች በመስጠት ይባላሉ ብሎ ማሰብ ብሽቅነት ነው።ሰብረናቸዋል ተብለን የለ እኛም ስብራታችንን እያስታመምን አንኖርም።ነው ስብራታችንን ዳግም እንዲደገም ፈልገው ነው።ፀሎት ላይ ነን በላቸው።መግለጫችሁን የምንሰማበትና የምናይበት ጊዜ የለንም።ከፈለጋችሁ ለጀዋር አንብቡለት።","Free"
"የአማራ ህዝብ እነኳን አሁን ማነነታቸው ግልፅ ብሎ በወጣበት ያኔም ገብቶታል፣ አነድ አማራራራራራራራራ","Free"
"ግድ የለም በአማራ ክልል የተፈፀሙ ጭፍጨፋ እና ወንጀሎችንም ጥቀስ። አንተ እየጮኸ ትጠፋለህ እንጂ ስም በማጥፋት የሚጠፋ ኦሮሞነት የለም።","Free"
"የአማራ ህዝብ ሆይ የሚሰጠውን መግለጫ እንዳትቀበሉት አማራን ለመከፋፈል የሚሰጥ መግለጫ ነው","Free"
"ይሄንን ሴራ እና ደባ ሊሞግት የማይችል ልፍስፍስ አሽከር ሆድ አደር አዴፓ የሚባል አፉኝት እያለ መቼም ከስህተት መማር መንቃት የሚባል ነገር የለም ወሬ አሳምሮ ማውራት ለማንም ቀላል ነው","Offensive"
"የአማራ ክልል ፖርቲዎች ህብረት መፍጠር ያልተመቸው ኦነግ መራሹ ኢህአዴግ ክልሉ ግጭት ውስጥ እንዲገባ ህዝቡ እርስበርሱ እንዲጋጭ አልሞ እየሰራ ይመሥለኛል ፡፡፡፡","Offensive"
"እውነት ነው ። ማንም በዚህ የሀሰት መግለጫ መከፋፈል የለብንም","Free"
"አቃቢ ህግም በብሄር ሸንሽኖ መሆን አለበት መግለጫ የሚሠጠን ዘይገርም አሉ አባ","Free"
"ትክክል! ""ብልጥ ከአንድ በላይ አይበልጥ"" እንዲሉ የእስከዛሬው ይበቃል። በሰኔ 15 ችግር ስንት ንጹሓን ወንድሞቻችብ ታስረው እያለ አሁን ደግሞ የፌዴራል ዐቃቤ ሕግ ዛሬ ሊሰጥ ያሰበው መግለጫ ዓላማው ምን እንደሆነ ግልጽ ነው። ስለዚህ ከዚህ በኋላ አይናችሁን ጨፍናችሁ ላሞኛችሁ የህጻናት ጨዋታ ነው ነገርዮው....","Offensive"
"ይህ እኮ የተለመደ ነው አማራውን እረፍት መንሳት ነው ወንድሜ ሆዬ","Free"
"እንናንተ ስታራግቡ የከረማችሁት የሎችን አራግባችሁ ጨርሳችሁ ነበር?ወይስ እኛ ብቻ ስለሰኔ 15ቱ ዋሸተን እንቅር እውነት አይውጣ ነማለት ነው?ለማንኛውም መንግስትም የነበሩ ሰወችም እውነቱን ይንገሩ፡፡እኛ በፌስቡክ የውሸት ወሬ የማንበከል ሰወች በመንግስት የተጣራውን ትክክለኛ ወሬ መስማትና ማወቅ እንፈልጋለን፡፡""እውነት ሲመጣ ውሸት ትጨነቃለች""ይላሉ አባቶ::","Free"
"ሚሻለውም ይሄው ነው ጠርዝና ጠርዝ ቆሞ መሰዳደቡ ለማንም አይጠቅምም አንድ አማራ ለሁሉም አማራ ሁሉም አማራ ለአንድ አማራ","Free"
"ግልፅ ነው ? የአማራ ታጋዮችን ለመከፋፈል የታለመ ነው ???","Free"
"ታድያ ስትበሳጭ ዋጥ እያደረጉ ነው ሄኖክ እንዳትንደው ህዝብህ አዋቂ ስለሆ ለምን ወዴት ብሎ ሊደነቃቀፍ ይችላል::","Offensive"
"የስመኘው ገዳይ እራሱ ስመኘው ነው::","Free"
"ገዛኢ አብረሃ እና ሰዓራ መኮንን???","Free"
"ከ20 የባንክ ቅርንጫ የተዘረፈው የህዝብ ገንዘብ ስንት እንደሆነ አልነገሩንም ሰንቱ ተዘርዝሮ ያልቃል የነሱ ጉድውሸት አተ ስለአማራ አድነት ውነትአሳስቦህ አተ አዱ የጃዋር ሚስጥራውይ ተከፋይ አደለህ ስለአማራ በምን ህሌናህ ነውየምትናገረው በዶላር ህሌናህ ከሆነ ልትናገር ትችል ይሆናል","Offensive"
"የጅሎቹ ድራማ ይቀጥላል መቼም አያፍሩምና ትንሽ ያስቁን ተዋቸው ግም ለግም አብሮ ያዝግም ነዉና","Offensive"
"አማራን እርስ በራሱ ለማባላትና ኦሮሞ ውስጥ የተደረግውን አጸያፊ ግደይ ትኩረት እያዳደረግ ትኩረቱን ለማስቀየር ነው ይፋ አደርጋለሁ ያለው አማራ ከመቸውም ግዜ በላይ አሁን ችግር ውስጥ ገብተናል እንደራጅ እንደራጅ እንደራጅ","Free"
"ጎንደሮች በግፍ ተጨፍጭፈው እውነቱ እንዳይወጣ ተቅበጠበጣችሁ","Offensive"
"ሞኝ ሰው ሁለቴ በባብይነደፋል አንዴም ሳያይ ሁለተኛ ለሰው ሲያሳይ ። እኛም እደሰውየዉ ሁለቴ መሸወድ የለብንም ንቃ አማራ ።","Free"
"በሚገባ ተነቃቅተናል ይልቅ ጎረቤቶቻችን የትግራይ አክቲቪስቶችም መምሸቱን እወቁ","Free"
"እውነት ነው ፡፡ ሌላ ድራማ ሊሰሩብን ስለፈለጉ ነው ፡፡","Offensive"
"ሴራውን ተረድተናል፣ አነድ አማራ፣ ጠላቶች","Offensive"
